case,stiffness,run_idx,q0_mcp_deg,q0_pip_deg,q0_dip_deg,theta_mcp_deg,theta_pip_deg,theta_dip_deg,tip_x_mm,tip_y_mm,tension_N,conv_time_s,saturated
dip,k=0,5,0.0,0.0,-0.5,54.7422,54.7277,54.2324,94.5869,-16.1894,0.0,1.201,
dip,k=0,6,0.0,0.0,-0.4,54.7088,54.6944,54.299,94.5844,-16.1174,0.0,1.201,
dip,k=0,7,0.0,0.0,-0.3,54.6755,54.6611,54.3657,94.5818,-16.0454,0.0,1.201,
dip,k=0,8,0.0,0.0,-0.2,54.6422,54.6277,54.4323,94.5791,-15.9734,0.0,1.201,
dip,k=0,9,0.0,0.0,-0.1,54.6088,54.5944,54.499,94.5764,-15.9013,0.0,1.201,
dip,k=0,10,0.0,0.0,0.0,54.5755,54.5611,54.5657,94.5735,-15.8293,0.0,1.201,
dip,k=0,11,0.0,0.0,0.1,54.5422,54.5278,54.6323,94.5707,-15.7573,0.0,1.201,
dip,k=0,12,0.0,0.0,0.2,54.5062,54.4996,54.6964,94.5656,-15.685,0.0,1.201,
dip,k=0,13,0.0,0.0,0.3,54.4726,54.4668,54.7628,94.5624,-15.6129,0.0,1.201,
dip,k=0,14,0.0,0.0,0.4,54.4335,54.4451,54.8236,94.5547,-15.5402,0.0,1.201,
dip,k=0,15,0.0,0.0,0.5,54.3994,54.4133,54.8895,94.5509,-15.4681,0.0,1.201,
dip,k=0,16,0.0,0.0,0.6,54.3565,54.3991,54.9466,94.5401,-15.3951,0.0,1.201,
dip,k=0,17,0.0,0.0,0.7,54.3217,54.3687,55.0118,94.5356,-15.3229,0.0,1.201,
dip,k=0,18,0.0,0.0,0.8,54.2746,54.3629,55.0647,94.5213,-15.2494,0.0,1.201,
dip,k=0,19,0.0,0.0,0.9,54.2389,54.3343,55.129,94.516,-15.1771,0.0,1.201,
dip,k=0,20,0.0,0.0,1.0,54.2033,54.3056,55.1933,94.5106,-15.1048,0.0,1.201,
dip,k=0.1184,0,0.0,0.0,-1.0,54.1696,54.1514,54.0732,95.3164,-14.7108,15.9801,1.68,
dip,k=0.1184,1,0.0,0.0,-0.9,54.1702,54.1509,54.0731,95.3167,-14.7112,15.9801,1.6420000000000001,
dip,k=0.1184,2,0.0,0.0,-0.8,54.1707,54.1504,54.0732,95.317,-14.7116,15.9801,1.606,
dip,k=0.1184,3,0.0,0.0,-0.7,54.1715,54.1496,54.0732,95.3175,-14.7122,15.9801,1.555,
